Nom;Sexe;Naissance;Poids;Taille;Cote;Niveau;Club
Audrey Menard;F;1985-04-04;52.9;160;tribord;loisir;
Brigitte Moreau;F;1975-08-14;54.8;159;tribord;loisir;
Laura Robert;F;1956-12-31;60.2;168;none;loisir;
Charlotte Fabre;F;1958-06-01;60.8;162;tribord;loisir;
Audrey Garcia;F;1971-03-18;56.1;162;babord;loisir;
Jocelyne Roger;F;1977-10-02;63.9;168;tribord;loisir;
Isabelle Schmitt;F;1960-05-03;61.4;160;tribord;loisir;
Francoise Gerard;F;1953-08-24;59.8;156;babord;loisir;
Brigitte Henry;F;1964-06-18;61.2;161;none;loisir;
Emma Roger;F;1973-07-23;68.7;176;tribord;loisir;
Christine Gautier;F;1955-01-27;59.1;166;tribord;loisir;
Zoe Dupuis;F;1957-01-03;51.9;157;tribord;loisir;
Alice Denis;F;1991-02-08;69.5;175;babord;loisir;
Brigitte Brunet;F;1969-08-09;60.4;163;none;loisir;
Laura Legrand;F;1990-01-19;74.1;180;babord;loisir;
Alice Simon;F;1964-03-27;64.2;165;babord;loisir;
Margaux Fleury;F;1971-12-25;57.6;162;tribord;loisir;
Juliette Dumont;F;1983-08-17;60.1;164;babord;loisir;
Martine Charpentier;F;1962-08-27;57.8;161;tribord;loisir;
Ines Lopez;F;1964-09-16;68.7;166;babord;loisir;
Clara Bertrand;F;1970-05-28;67.8;171;babord;loisir;
Christine Guillaume;F;1967-01-26;64.1;165;babord;loisir;
Valerie Andre;F;1968-10-20;67.9;173;babord;loisir;
Charlotte Andre;F;1961-07-22;71.4;173;babord;loisir;
Odile Richard;F;1974-10-29;57.7;161;babord;loisir;
Nina Henry;F;1963-02-17;70.2;167;babord;loisir;
Brigitte Robin;F;1975-05-30;64.7;164;babord;loisir;
Valerie Schmitt;F;1962-06-01;62.6;167;babord;loisir;
Jade Richard;F;1965-05-22;59.5;164;tribord;loisir;
Sylvie Gaillard;F;1983-10-03;62.6;166;babord;loisir;
Pauline Collet;F;1974-09-29;62.7;166;tribord;loisir;
Sandrine Rolland;F;1977-05-12;63.9;168;tribord;loisir;
Zoe Klein;F;1986-08-23;67.7;171;babord;loisir;
Helene Jean;F;1982-12-17;59.9;172;none;loisir;
Martine Rey;F;1957-02-06;66.8;168;tribord;loisir;
Claire Gaillard;F;1983-06-04;60.3;164;babord;loisir;
Margaux Dumas;F;1960-05-08;65.9;167;none;loisir;
Marie Gaillard;F;1988-10-02;66.3;177;none;loisir;
Amandine Renaud;F;1983-01-27;63.9;168;tribord;loisir;
Audrey Lefevre;F;1988-04-10;57.3;165;babord;loisir;
Sophie Rey;F;1984-08-27;61.5;168;tribord;loisir;
Julie Guillot;F;1966-12-02;64.9;164;babord;loisir;
Lea Leroy;F;1956-11-05;71.4;168;tribord;loisir;
Charlotte Langlois;F;1982-04-16;61.9;168;none;loisir;
Monique Dubois;F;1977-01-31;60.4;161;none;loisir;
Elise Mercier;F;1964-07-30;60.7;161;tribord;loisir;
Celine Louis;F;1966-11-01;83.5;177;tribord;loisir;
Pauline Robert;F;1972-08-30;67.5;170;babord;loisir;
Charlotte Vidal;F;1976-03-10;57.7;161;babord;loisir;
Marie Barbier;F;1960-03-12;68.0;168;babord;loisir;
Celine Garnier;F;1966-04-16;68.9;166;babord;loisir;
Elise Fontaine;F;1979-11-23;68.7;172;babord;loisir;
Christine Pierre;F;1975-12-26;68.2;163;babord;loisir;
Odile Henry;F;1973-06-10;61.0;165;tribord;loisir;
Eva Mercier;F;1956-12-28;66.1;170;tribord;loisir;
Annie Brun;F;1959-08-18;53.5;155;babord;loisir;
Amandine Andre;F;1983-03-08;59.2;164;none;loisir;
Louise Lefevre;F;1959-08-21;65.8;167;babord;loisir;
Annie Moulin;F;1965-11-24;61.8;165;babord;loisir;
Pauline Duval;F;1971-05-06;60.3;162;babord;loisir;
Nathalie Arnaud;F;1978-05-16;58.3;163;none;loisir;
Martine Guillaume;F;1976-11-10;65.3;166;none;loisir;
Eva Payet;F;1959-03-21;61.1;168;babord;loisir;
Martine Pierre;F;1956-12-28;62.1;166;tribord;loisir;
Marie Duval;F;1983-04-22;59.6;164;babord;loisir;
Eva Brun;F;1951-04-17;62.2;168;tribord;loisir;
Clara Carpentier;F;1970-09-23;64.1;165;none;loisir;
Jocelyne Guillaume;F;1968-05-12;63.9;164;tribord;loisir;
Sandrine Brunet;F;1982-03-06;67.6;172;tribord;loisir;
Elise Leroux;F;1971-06-08;56.2;156;babord;loisir;
Eva Bonnet;F;1954-10-23;58.7;157;tribord;loisir;
Clara Gros;F;1968-11-23;69.4;168;none;loisir;
Helene Gaillard;F;1967-03-02;63.1;159;babord;loisir;
Brigitte Blanc;F;1976-03-03;62.2;168;tribord;loisir;
Lola Vincent;F;1955-01-23;67.2;167;babord;loisir;
Isabelle Girard;F;1979-03-27;61.8;165;babord;loisir;
Christine Renou;F;1976-06-19;63.2;164;tribord;loisir;
Laura Rousseau;F;1962-01-10;60.0;163;tribord;loisir;
Zoe Navarro;F;1977-05-27;62.4;169;tribord;loisir;
Lucie Benoit;F;1967-11-07;61.9;167;babord;loisir;
Veronique Lefebvre;F;1967-10-03;50.0;155;tribord;loisir;
Monique Duval;F;1983-01-05;59.9;166;none;loisir;
Alice Blanchard;F;1963-10-14;55.1;165;babord;loisir;
Lola Renou;F;1965-02-14;59.5;166;none;loisir;
Clara Royer;F;1968-07-12;50.3;160;tribord;loisir;
Zoe Lemaire;F;1973-09-06;58.1;166;tribord;loisir;
Anais Petit;F;1959-06-26;70.7;172;none;loisir;
Juliette Chevalier;F;1985-07-28;60.4;158;none;loisir;
Marie Garcia;F;1957-01-11;70.6;174;babord;loisir;
Juliette Huet;F;1961-08-24;61.3;163;babord;loisir;
Celine Lemoine;F;1968-12-07;63.2;163;tribord;loisir;
Lina Morel;F;1954-07-02;61.2;160;babord;loisir;
Christine Dupont;F;1969-09-25;64.0;168;none;loisir;
Sophie Roche;F;1979-05-02;62.3;167;tribord;loisir;
Audrey Leroux;F;1959-10-02;66.0;169;babord;loisir;
Audrey Huet;F;1955-01-25;61.5;167;tribord;loisir;
Louise Guillaume;F;1984-08-17;65.3;173;tribord;loisir;
Lina Riviere;F;1974-03-15;67.2;171;babord;loisir;
Eva Denis;F;1961-10-30;58.6;171;babord;loisir;
Helene Guillaume;F;1980-10-20;59.4;164;babord;loisir;
Lina Dupont;F;1983-06-04;65.7;168;tribord;loisir;
Helene Garcia;F;1980-12-14;63.5;166;babord;loisir;
Clara Collet;F;1985-11-20;53.2;158;babord;loisir;
Anais Renaud;F;1961-04-13;65.5;167;babord;loisir;
Sandrine Petit;F;1989-11-23;64.7;171;none;loisir;
Celine Brun;F;1972-09-04;62.3;160;tribord;loisir;
Julie Dubois;F;1964-09-05;57.0;161;tribord;loisir;
Louise Blanc;F;1969-12-15;62.1;166;babord;loisir;
Valerie Morin;F;1981-08-26;59.1;163;babord;loisir;
Audrey Dubois;F;1966-12-18;62.2;164;tribord;loisir;
Manon Marie;F;1962-12-22;57.2;166;tribord;loisir;
Margaux Riviere;F;1963-05-21;63.7;172;babord;loisir;
Francoise Dumont;F;1963-01-02;65.7;165;babord;loisir;
Isabelle Richard;F;1966-06-26;68.0;170;none;loisir;
Sophie Tessier;F;1970-11-14;64.3;168;babord;loisir;
Alice Dupont;F;1955-05-02;64.3;160;none;loisir;
